accountsservice 26.27.3-1.1
adw-gtk-theme 6.5-1
alacritty 0.17.0-1.2
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-6.1
alsa-utils 1.2.16-1.1
arch-install-scripts 31-2
awesome-terminal-fonts 1.1.0-5
baobab 50.0-1.1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bat 0.26.1-2.1
bind 9.20.26-1.1
bluez 5.87-2.1
bluez-hid2hci 5.87-2.1
bluez-libs 5.87-2.1
bluez-obex 5.87-2.1
bluez-utils 5.87-2.1
btop 1.4.7-1.1
btrfs-assistant 2.2-5.1
btrfs-progs 7.1-1
cachyos-fish-config 16-1
cachyos-gnome-settings 1.2.1-1
cachyos-hello 0.28.1-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 24-1
cachyos-settings 1:1.4.0-1
cachyos-snapper-support 1.0.2-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cachy-update 4.1.5-1
caelestia-cli 1.1.2-1
caelestia-firefox-theme 1.0.0-1
caelestia-shell 2.3.0-1
calf 0.90.9-2.1
cantarell-fonts 1:0.311-1
chwd 1.24.1-1
clapper 0.10.0-1.1
cliphist 1:0.7.0-2.1
cpupower 7.1.8-1
cryptsetup 2.8.7-1.1
curl 8.21.0-1.1
darkly-bin 0.5.38-1
decibels 49.6.1-1
device-mapper 2.03.42-1.1
diffutils 3.12-2.1
direnv 2.37.1-1.1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.93-1.1
dosfstools 4.2-5.1
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
easyeffects 8.2.8-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
ethtool 1:7.1-1.1
exfatprogs 1.4.3-1.1
eza 0.23.5-2.1
f2fs-tools 1.16.0-3.1
fastfetch 2.67.1-1.1
ffmpegthumbnailer 2.3.0-2.1
file-roller 44.7-1.1
fish 4.8.1-1
frameworkintegration 6.28.0-1.1
fsarchiver 0.8.9-1.1
fwupd 2.1.7-1.1
gamemode 1.8.2-3.1
gamescope 3.16.24-1
gdm 50.2-1.1
git 2.55.0-1.1
glances 4.5.6-1
gnome-backgrounds 50.0-1
gnome-calculator 50.0-1
gnome-control-center 50.4-1.1
gnome-disk-utility 46.1-3.1
gnome-keyring 1:50.0-1.1
gnome-power-manager 50.0-1.1
gnome-shell 1:50.4-1.1
gnome-text-editor 50.1-1.1
gnome-tweaks 49.0-2
gst-libav 1.28.6-1.1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.6-1.1
gst-plugins-ugly 1.28.6-1.1
gst-plugin-va 1.28.6-1.1
gvfs-afc 1.60.2-1
gvfs-dnssd 1.60.2-1
gvfs-gphoto2 1.60.2-1
gvfs-mtp 1.60.2-1
gvfs-nfs 1.60.2-1
gvfs-smb 1.60.2-1
hdparm 9.65-3.1
helium-browser-bin 0.15.5.1-1
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1.1
hyprland 0.56.2-1
hyprmod 0.4.0-3
hyprpicker 0.4.7-3.1
inetutils 2.8-1.1
intel-media-driver 26.2.4-1.1
intel-ucode 20260812-1
iwd 3.12-1.1
jfsutils 1.1.15-9.1
jq 1.8.2-1.1
kitty 0.48.2-1.1
lazygit 0.64.1-1.1
less 1:704-1.1
lib32-gamemode 1.8.2-1
lib32-mangohud 0.8.4-1
lib32-mesa 3:26.1.6-1
lib32-opencl-mesa 3:26.1.6-1
lib32-vulkan-intel 3:26.1.6-1
libdvdcss 1.6.0-1.1
libgsf 1.14.58-1.1
libmatroska 1.7.2-2.1
libnma 1.10.6-3.1
libopenraw 0.3.7-2.1
limine 12.5.2-1
limine-mkinitcpio-hook 1.37.1-1
limine-snapper-sync 1.31.0-1
linux-cachyos 7.1.8-1
linux-cachyos-headers 7.1.8-1
linux-cachyos-lts 6.18.42-1
linux-cachyos-lts-headers 6.18.42-1
linux-firmware 1:20260810-2
logrotate 3.22.0-1.1
loupe 50.0-1.1
lsb-release 2.0.r55.a25a4fc-1
lsp-plugins 1.2.33-2.1
lsscsi 0.32-2.2
lvm2 2.03.42-1.1
malcontent 0.14.0-4
man-db 2.13.1-2.1
mangohud 0.8.4-1.1
man-pages 6.18-1
mdadm 4.6-2
mediainfo 26.05-1.1
meld 3.24.0-1
mesa-utils 9.0.0-7.1
micro 2.0.15-3.1
mkinitcpio 41.1-2
modemmanager 1.24.2-1.1
mtools 1:4.0.49-1.1
nano 9.2-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
netctl 1.29-2
networkmanager 1.58.0-1
networkmanager-openvpn 1.12.5-1.1
nfs-utils 2.9.2-1.1
nilfs-utils 2.3.1-1.1
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
nss-mdns 0.15.1-2.1
opencl-mesa 3:26.1.6-1
openssh 10.5p1-1.1
